Id,Designator,Package,Quantity,Designation,Supplier and ref,,,,,,,
60,TH1,R_0805,1,Thermistor_NTC,490-2454-1-ND,0.21,0.21,103.32,,,,
,,battery,4,BATTERY LITHIUM 3.7V 2.6AH,1568-1488-ND,5.95,23.8,127.12,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,Total,139.81
